role_name,keywords,certifications,experience_level,description,salary_range,required_skills
Frontend Developer,"html,css,javascript,typescript,react,vue,angular,svelte,next.js,webpack,sass,tailwind,frontend,ui/ux","AWS Certified Developer,Google Mobile Web Specialist,Meta Front-End Developer",junior-senior,"Builds user-facing web applications with modern frameworks and responsive design","60k-150k","JavaScript/TypeScript, React/Vue/Angular, HTML5/CSS3, REST APIs, Git"
Backend Developer,"node.js,express,django,flask,fastapi,spring boot,asp.net,laravel,ruby on rails,graphql,rest api,microservices,backend","AWS Certified Developer,Oracle Certified Professional,Microsoft Certified: Azure Developer",junior-senior,"Develops server-side logic, APIs, and database integrations","70k-160k","Python/Java/Node.js, REST/GraphQL APIs, SQL/NoSQL, Docker, Microservices"
Full Stack Developer,"full stack,mern,mean,react,node.js,express,mongodb,postgresql,typescript","AWS Certified Solutions Architect,Full Stack Web Development Certification",mid-senior,"Handles both frontend and backend development across the entire stack","80k-170k","Frontend frameworks, Backend APIs, Databases, DevOps basics, System design"
Mobile Developer,"android,ios,swift,kotlin,react native,flutter,mobile app,xamarin","Google Associate Android Developer,Apple Certified iOS Developer",junior-senior,"Creates native or cross-platform mobile applications for iOS and Android","70k-160k","Swift/Kotlin, React Native/Flutter, Mobile UI/UX, App Store deployment, REST APIs"
AI Engineer,"artificial intelligence,ai engineer,llm,gpt,langchain,openai,claude,hugging face,prompt engineering,rag,vector database,chatbot","AWS Certified AI Practitioner,Microsoft AI Engineer Associate,Google Cloud AI Engineer",mid-senior,"Builds and integrates AI systems including LLMs, chatbots, and intelligent applications","110k-210k","Python, LLMs (GPT/Claude), LangChain, Vector DBs, Prompt engineering, APIs, RAG systems"
Machine Learning Engineer,"machine learning,deep learning,tensorflow,pytorch,keras,model deployment,ml pipeline,mlops","AWS Certified Machine Learning,TensorFlow Developer Certificate,Google Cloud ML Engineer",mid-senior,"Designs and deploys machine learning models into production systems","100k-200k","Python, TensorFlow/PyTorch, ML algorithms, Model deployment, MLOps, Cloud platforms"
Data Scientist,"data science,statistics,pandas,numpy,data analysis,hypothesis testing,a/b testing,tableau,power bi","Certified Analytics Professional,Google Data Analytics Certificate,IBM Data Science",junior-senior,"Analyzes complex data to extract insights and build predictive models","80k-180k","Python/R, Statistics, SQL, pandas/numpy, Data visualization, Machine learning"
Data Engineer,"etl,data pipeline,airflow,spark,hadoop,data warehouse,snowflake,redshift,bigquery","AWS Certified Data Analytics,Google Cloud Data Engineer,Databricks Certified",mid-senior,"Builds and maintains data pipelines and infrastructure for analytics","90k-180k","ETL tools, Apache Spark/Airflow, SQL, Data warehousing, Cloud platforms, Python"
DevOps Engineer,"devops,ci/cd,jenkins,gitlab ci,github actions,kubernetes,docker,terraform,ansible,prometheus,grafana","AWS Certified DevOps Engineer,Kubernetes Administrator,Docker Certified Associate",mid-senior,"Automates deployment pipelines and manages infrastructure as code","90k-170k","CI/CD, Docker/Kubernetes, Terraform/Ansible, Cloud platforms, Linux, Scripting"
Cloud Architect,"cloud architect,aws solutions,azure architect,multi-cloud,cloud migration,infrastructure design","AWS Solutions Architect Professional,Azure Solutions Architect Expert,Google Cloud Architect",senior,"Designs scalable cloud infrastructure and migration strategies","120k-220k","AWS/Azure/GCP, Architecture design, Security, Cost optimization, Multi-cloud"
Site Reliability Engineer,"site reliability,sre,monitoring,incident response,on-call,reliability engineering,prometheus,grafana","AWS Certified SysOps Administrator,Certified Kubernetes Administrator,Google Cloud SRE",mid-senior,"Ensures system reliability, performance, and incident management","100k-190k","Monitoring tools, Kubernetes, Incident response, Automation, Cloud platforms, Linux"
Security Engineer,"cybersecurity,penetration testing,security engineer,vulnerability,owasp,security audit,ethical hacking","CISSP,CEH,CompTIA Security+,OSCP,GIAC Security Essentials",mid-senior,"Protects systems from security threats and conducts vulnerability assessments","90k-180k","Network security, Penetration testing, OWASP, Security tools, Compliance, Linux"
Blockchain Developer,"blockchain,solidity,web3,ethereum,smart contract,cryptocurrency,defi","Certified Blockchain Developer,Ethereum Developer Certification,Hyperledger Certified",mid-senior,"Develops decentralized applications and smart contracts on blockchain platforms","100k-200k","Solidity, Web3.js, Smart contracts, Blockchain protocols, Cryptography"
QA Engineer,"qa,quality assurance,selenium,test automation,cypress,jest,unit testing,integration testing","ISTQB Certified Tester,Certified Selenium Professional,Automation Testing Certification",junior-senior,"Designs and executes automated tests to ensure software quality","60k-130k","Test automation, Selenium/Cypress, Testing frameworks, CI/CD, Scripting, Agile"
Product Manager,"product manager,product owner,roadmap,stakeholder,agile,scrum master,product strategy","Certified Scrum Product Owner,Product Management Certificate,Pragmatic Marketing",mid-senior,"Defines product vision, roadmap, and works with cross-functional teams","90k-180k","Product strategy, Agile/Scrum, Stakeholder management, Market analysis, User research"
UI/UX Designer,"ui/ux,user experience,figma,sketch,adobe xd,wireframe,prototyping,user research","Google UX Design Certificate,Adobe Certified Expert,Interaction Design Foundation",junior-senior,"Designs user interfaces and experiences through research and prototyping","60k-140k","Figma/Sketch, User research, Wireframing, Prototyping, Design systems, HTML/CSS basics"
Database Administrator,"database administrator,dba,mysql,postgresql,oracle,sql server,database optimization,query tuning","Oracle Certified Professional DBA,Microsoft Certified: Azure Database Administrator,MongoDB Certified DBA",mid-senior,"Manages and optimizes database systems for performance and reliability","70k-150k","SQL, Database administration, Performance tuning, Backup/Recovery, Security, Monitoring"
Embedded Systems Engineer,"embedded systems,firmware,iot,raspberry pi,arduino,c++,rtos,embedded c","Certified Embedded Systems Engineer,ARM Accredited Engineer,IoT Certification",mid-senior,"Develops firmware and software for embedded hardware systems","80k-160k","C/C++, Embedded C, RTOS, Hardware interfaces, Microcontrollers, Debugging"
Game Developer,"game developer,unity,unreal engine,game design,3d modeling,shader","Unity Certified Developer,Unreal Engine Certification,Autodesk Maya Certified",junior-senior,"Creates interactive games and game engines using Unity or Unreal","70k-150k","Unity/Unreal Engine, C#/C++, Game design, 3D graphics, Physics, AI programming"
Solutions Architect,"solutions architect,enterprise architecture,system design,technical architecture,cloud solutions","AWS Solutions Architect,TOGAF Certification,Azure Solutions Architect",senior,"Designs enterprise-level technical solutions and system architectures","130k-230k","System design, Cloud platforms, Architecture patterns, Technical leadership, Integration"
Business Analyst,"business analyst,requirements gathering,user stories,process improvement,stakeholder analysis","CBAP,PMI-PBA,Business Analysis Certification",junior-senior,"Analyzes business processes and defines requirements for technical solutions","65k-130k","Requirements analysis, SQL, Process modeling, Stakeholder management, Documentation"
Technical Writer,"technical writer,documentation,api documentation,user guides,technical communication","Technical Writing Certification,Microsoft Certified Technical Specialist",junior-senior,"Creates clear technical documentation for software and APIs","55k-110k","Technical writing, Markdown, API docs, Content management, Software knowledge"
Scrum Master,"scrum master,agile coach,sprint planning,retrospectives,scrum ceremonies,team facilitation","Certified ScrumMaster (CSM),SAFe Scrum Master,Professional Scrum Master",mid-senior,"Facilitates Agile processes and removes impediments for development teams","75k-140k","Scrum/Agile, Team facilitation, Conflict resolution, Jira, Agile metrics"
Network Engineer,"network engineer,cisco,routing,switching,firewall,vpn,network security,tcp/ip","CCNA,CCNP,CompTIA Network+,Juniper JNCIA",junior-senior,"Designs, implements, and maintains network infrastructure","70k-145k","Networking protocols, Cisco/Juniper, Firewalls, VPN, Network security, Troubleshooting"
Systems Administrator,"system administrator,linux,windows server,active directory,bash,powershell,server management","Red Hat Certified,Microsoft MCSA,CompTIA Server+",junior-senior,"Manages and maintains server infrastructure and operating systems","60k-125k","Linux/Windows, Server administration, Scripting, Active Directory, Monitoring, Backup"
Computer Vision Engineer,"computer vision,opencv,yolo,image processing,object detection,deep learning,cnns","TensorFlow Developer,Computer Vision Nanodegree",mid-senior,"Develops systems for image and video analysis using deep learning","105k-195k","Python, OpenCV, TensorFlow/PyTorch, CNNs, Image processing, Deep learning"
NLP Engineer,"nlp,natural language processing,spacy,nltk,transformers,bert,text analysis,sentiment analysis","NLP Specialization,Hugging Face Certified",mid-senior,"Builds systems for text understanding and language processing","100k-190k","Python, NLP libraries, Transformers, BERT/GPT, Text processing, Deep learning"
Robotics Engineer,"robotics,ros,robot operating system,autonomous systems,motion planning,computer vision,embedded","Robotics Engineering Certification,ROS Developer",mid-senior,"Designs and programs robotic systems and autonomous vehicles","95k-185k","ROS, Python/C++, Control systems, Computer vision, Embedded systems, Sensors"
Hardware Engineer,"hardware engineer,circuit design,pcb design,vhdl,verilog,fpga,electrical engineering","Certified Hardware Engineer,Professional Engineer (PE)",mid-senior,"Designs and tests electronic hardware and circuit boards","85k-165k","Circuit design, PCB layout, FPGA, VHDL/Verilog, Testing, Manufacturing"
Test Engineer,"test engineer,manual testing,test cases,bug tracking,regression testing,jira","ISTQB Foundation,Certified Test Engineer",junior-senior,"Designs and executes test plans to ensure software quality","55k-115k","Test planning, Test cases, Bug tracking, Jira, Regression testing, Documentation"
Performance Engineer,"performance engineer,load testing,jmeter,performance optimization,profiling,scalability","Performance Testing Certification,LoadRunner Certified",mid-senior,"Optimizes application performance and conducts load testing","85k-160k","Load testing, JMeter/LoadRunner, Performance profiling, Monitoring, Optimization"
Release Manager,"release manager,release management,deployment,change management,version control","ITIL Certification,Release Management Professional",mid-senior,"Coordinates software releases and manages deployment processes","80k-150k","Release management, CI/CD, Change management, Risk assessment, Communication"
Integration Engineer,"integration engineer,api integration,middleware,enterprise service bus,mulesoft,kafka","MuleSoft Certified,Integration Architect Certification",mid-senior,"Integrates disparate systems and manages data flow between applications","85k-165k","API integration, ESB, MuleSoft/Dell Boomi, Kafka, REST/SOAP, ETL"
Technical Support Engineer,"technical support,troubleshooting,customer support,ticketing system,remote support","CompTIA A+,ITIL Foundation,Microsoft Support Professional",junior-senior,"Provides technical assistance and troubleshoots customer issues","50k-100k","Troubleshooting, Customer service, Ticketing systems, Remote support, Documentation"
IT Project Manager,"it project manager,project planning,budget management,risk management,waterfall,agile","PMP,PRINCE2,Certified Agile Project Manager",mid-senior,"Plans and manages IT projects from initiation to delivery","85k-160k","Project management, Risk management, Budgeting, Stakeholder management, Agile/Waterfall"
Information Security Analyst,"information security,security monitoring,threat analysis,siem,incident response,compliance","CISSP,CISM,Security+ Certification",mid-senior,"Monitors security systems and responds to security incidents","80k-160k","Security monitoring, SIEM, Incident response, Compliance, Threat analysis"
Penetration Tester,"penetration testing,ethical hacking,vulnerability assessment,kali linux,metasploit,burp suite","CEH,OSCP,GPEN,GWAPT",mid-senior,"Conducts security assessments by simulating cyber attacks","90k-175k","Penetration testing, Kali Linux, Metasploit, Web app security, Report writing"
Network Security Engineer,"network security,firewall management,ids/ips,vpn,security policies,cisco asa","CCNA Security,Palo Alto Certified,Fortinet NSE",mid-senior,"Implements and manages network security solutions","85k-170k","Firewalls, IDS/IPS, VPN, Network security, Cisco/Palo Alto, Security policies"
Compliance Analyst,"compliance,regulatory compliance,audit,risk assessment,sox,gdpr,hipaa","CISA,CRISC,Compliance Certification",mid-senior,"Ensures organizational compliance with regulations and standards","70k-140k","Compliance frameworks, Auditing, Risk assessment, Documentation, GDPR/SOX/HIPAA"
Digital Marketing Manager,"digital marketing,seo,sem,google analytics,social media marketing,content strategy","Google Analytics Certified,HubSpot Certification,Digital Marketing Certificate",mid-senior,"Develops and executes digital marketing strategies across channels","65k-135k","SEO/SEM, Google Analytics, Social media, Content strategy, Campaign management"
SEO Specialist,"seo,search engine optimization,keyword research,google search console,backlinks,content optimization","Google SEO Certification,SEMrush Certified,Moz Certification",junior-senior,"Optimizes websites for search engine rankings and organic traffic","50k-110k","SEO, Keyword research, Google Search Console, Analytics, Link building, Content"
Content Marketing Manager,"content marketing,content strategy,copywriting,blog management,content calendar,lead generation","Content Marketing Certification,HubSpot Content Marketing",mid-senior,"Creates and manages content strategy to drive engagement and leads","60k-130k","Content strategy, Copywriting, SEO, Analytics, Social media, Lead generation"
Social Media Manager,"social media,facebook,instagram,twitter,linkedin,social media strategy,engagement","Social Media Marketing Certification,Hootsuite Certified",junior-senior,"Manages social media presence and develops engagement strategies","50k-105k","Social media platforms, Content creation, Analytics, Community management, Paid ads"
Email Marketing Specialist,"email marketing,mailchimp,hubspot,email campaigns,a/b testing,marketing automation","Email Marketing Certification,HubSpot Email Marketing",junior-senior,"Creates and optimizes email marketing campaigns","50k-100k","Email marketing, Mailchimp/HubSpot, A/B testing, Copywriting, Analytics"
Brand Manager,"brand management,brand strategy,market positioning,brand identity,competitive analysis","Brand Management Certification,Marketing Certification",mid-senior,"Develops and maintains brand identity and positioning","70k-145k","Brand strategy, Market research, Creative direction, Stakeholder management"
Growth Hacker,"growth hacking,user acquisition,viral marketing,analytics,conversion optimization,experiments","Growth Marketing Certification,Analytics Certification",mid-senior,"Drives rapid user growth through creative marketing experiments","70k-150k","Growth strategies, Analytics, A/B testing, User acquisition, Viral marketing"
E-commerce Manager,"e-commerce,shopify,magento,online retail,conversion optimization,product listings","E-commerce Certification,Shopify Expert,Google Shopping",mid-senior,"Manages online store operations and optimizes sales","65k-135k","E-commerce platforms, Shopify/Magento, SEO, Analytics, Conversion optimization"
Video Editor,"video editing,adobe premiere,final cut pro,after effects,motion graphics,color grading","Adobe Certified Professional,Video Editing Certification",junior-senior,"Edits and produces video content for various platforms","45k-95k","Video editing, Premiere/Final Cut, After Effects, Color grading, Audio editing"
Motion Graphics Designer,"motion graphics,after effects,cinema 4d,animation,3d modeling,visual effects","Adobe Certified Expert,Motion Graphics Certification",mid-senior,"Creates animated graphics and visual effects for media","55k-120k","After Effects, Cinema 4D, Animation, 3D modeling, Compositing"
Graphic Designer,"graphic design,adobe photoshop,illustrator,indesign,branding,print design","Adobe Certified Professional,Graphic Design Certification",junior-senior,"Creates visual designs for digital and print media","45k-95k","Photoshop, Illustrator, InDesign, Typography, Layout design, Branding"
3D Artist,"3d modeling,maya,blender,3ds max,texturing,rendering,rigging","Autodesk Maya Certified,3D Artist Certification",junior-senior,"Creates 3D models and assets for games, films, and visualization","55k-115k","Maya/Blender/3ds Max, 3D modeling, Texturing, Rendering, Rigging"
Sound Engineer,"sound engineering,audio production,pro tools,mixing,mastering,recording","Audio Engineering Certification,Pro Tools Certified",junior-senior,"Records, mixes, and masters audio for music and media","50k-105k","Pro Tools, Audio mixing, Recording, Mastering, Signal processing"
VFX Artist,"visual effects,nuke,houdini,compositing,particle systems,simulation","VFX Certification,Nuke Certified,Houdini Certified",mid-senior,"Creates visual effects for film, TV, and games","70k-145k","Nuke, Houdini, Compositing, Particle systems, 3D simulation"
Technical Artist,"technical artist,unity,unreal,shader programming,pipeline development,optimization","Technical Artist Certification,Unity Certified",mid-senior,"Bridges art and programming in game development","75k-150k","Unity/Unreal, Shaders, Python, Pipeline tools, Optimization, 3D software"
Level Designer,"level design,game design,unity,unreal,environment design,gameplay scripting","Level Design Certification,Game Design Certificate",junior-senior,"Designs game levels and environments for optimal gameplay","60k-125k","Unity/Unreal, Level design, Game design, Scripting, 3D modeling"
Game Producer,"game producer,project management,team coordination,milestone tracking,budget management","Game Production Certification,PMP",mid-senior,"Manages game development projects and coordinates teams","75k-155k","Project management, Team coordination, Budget management, Scheduling, Communication"
Narrative Designer,"narrative design,storytelling,dialogue writing,quest design,game writing","Narrative Design Certificate,Game Writing Certification",mid-senior,"Creates stories, characters, and dialogue for games","60k-130k","Storytelling, Dialogue writing, Quest design, Character development, Game design"
Localization Manager,"localization,translation management,internationalization,quality assurance,cultural adaptation","Localization Project Manager Certification,Translation Management",mid-senior,"Manages translation and cultural adaptation of content","65k-130k","Localization, Translation management, Cultural knowledge, QA, Project management"
Financial Analyst,"financial analysis,financial modeling,excel,forecasting,budgeting,financial reporting","CFA,Financial Modeling Certification,Excel Expert",junior-senior,"Analyzes financial data and creates models for business decisions","60k-130k","Financial modeling, Excel, Forecasting, Analysis, Financial reporting, SQL"
Accountant,"accounting,bookkeeping,financial statements,tax preparation,gaap,quickbooks","CPA,CMA,Certified Accountant",junior-senior,"Manages financial records and prepares financial statements","55k-115k","Accounting, GAAP, Financial statements, Tax preparation, QuickBooks, Excel"
Tax Consultant,"tax consulting,tax preparation,tax planning,irs regulations,corporate tax","CPA,Enrolled Agent,Tax Consultant Certification",mid-senior,"Provides tax planning and preparation services","70k-145k","Tax law, Tax preparation, IRS regulations, Tax planning, Research, Client advisory"
Investment Analyst,"investment analysis,portfolio management,stock analysis,bloomberg terminal,valuation","CFA,CAIA,Investment Analysis Certification",mid-senior,"Analyzes investment opportunities and manages portfolios","75k-155k","Financial analysis, Valuation, Bloomberg, Portfolio management, Research"
Risk Analyst,"risk analysis,risk management,financial modeling,compliance,risk assessment","FRM,Risk Management Certification,PRMIA",mid-senior,"Identifies and assesses financial and operational risks","70k-145k","Risk analysis, Financial modeling, Statistics, Compliance, Report writing"
Actuary,"actuarial science,statistical modeling,probability,risk assessment,insurance,pension","ASA,FSA,Actuarial Certification",mid-senior,"Uses mathematics and statistics to assess financial risks","80k-170k","Statistical modeling, Probability, Excel, Programming, Insurance knowledge"
Credit Analyst,"credit analysis,financial analysis,risk assessment,loan underwriting,credit scoring","Credit Analysis Certification,Financial Analysis Certificate",junior-senior,"Evaluates creditworthiness of individuals and businesses","60k-120k","Credit analysis, Financial analysis, Risk assessment, Excel, Report writing"
Quantitative Analyst,"quantitative analysis,mathematical modeling,python,r,algorithmic trading,statistical analysis","CQF,Quantitative Finance Certification,FRM",senior,"Develops mathematical models for financial markets","100k-200k","Python/R/MATLAB, Statistical modeling, Financial mathematics, Machine learning"
Treasury Analyst,"treasury management,cash management,forecasting,financial planning,banking relations","Certified Treasury Professional,CTP",mid-senior,"Manages company cash flow and financial operations","65k-135k","Cash management, Forecasting, Excel, Financial systems, Banking"
Audit Manager,"audit,internal audit,financial audit,compliance,risk assessment,sox","CIA,CISA,CPA",senior,"Plans and conducts audits to ensure compliance and controls","85k-165k","Auditing, Compliance, Risk assessment, Financial analysis, Team management"
Supply Chain Manager,"supply chain,logistics,inventory management,procurement,demand planning,erp","CSCP,CPIM,Supply Chain Certification",mid-senior,"Oversees supply chain operations from procurement to delivery","75k-150k","Supply chain, Logistics, Inventory management, ERP, Negotiation, Analytics"
Logistics Coordinator,"logistics,shipping,freight forwarding,inventory,warehouse management,transportation","Logistics Certification,Supply Chain Certificate",junior-senior,"Coordinates transportation and logistics operations","50k-100k","Logistics, Shipping, Inventory, MS Office, Communication, Problem solving"
Procurement Specialist,"procurement,vendor management,contract negotiation,purchasing,cost analysis","CPSM,Procurement Certification",mid-senior,"Manages procurement activities and vendor relationships","60k-125k","Procurement, Negotiation, Vendor management, Contract management, Cost analysis"
Operations Manager,"operations management,process improvement,lean,six sigma,team management,kpis","Six Sigma Black Belt,Operations Management Certification,PMP",mid-senior,"Oversees daily operations and implements process improvements","70k-145k","Operations, Process improvement, Lean/Six Sigma, Team management, Analytics"
Quality Assurance Manager,"quality assurance,iso standards,process auditing,quality control,continuous improvement","ASQ Certification,Six Sigma,ISO Auditor",mid-senior,"Manages quality assurance programs and ensures compliance","70k-140k","Quality management, ISO standards, Auditing, Process improvement, Team leadership"
Manufacturing Engineer,"manufacturing engineering,lean manufacturing,process optimization,automation,cad","Certified Manufacturing Engineer,Lean Six Sigma",mid-senior,"Designs and optimizes manufacturing processes","75k-145k","Manufacturing, Process engineering, CAD, Automation, Lean, Problem solving"
Industrial Engineer,"industrial engineering,process improvement,operations research,simulation,productivity","Professional Engineer (PE),Six Sigma",mid-senior,"Optimizes complex processes and systems","70k-140k","Process improvement, Simulation, Operations research, Data analysis, Lean"
Mechanical Engineer,"mechanical engineering,cad,solidworks,fea,hvac,thermodynamics,product design","Professional Engineer (PE),SolidWorks Certification",junior-senior,"Designs and analyzes mechanical systems and products","65k-135k","CAD, SolidWorks, FEA, Thermodynamics, Materials, Manufacturing"
Electrical Engineer,"electrical engineering,circuit design,pcb,power systems,plc,autocad electrical","Professional Engineer (PE),Electrical Engineering License",junior-senior,"Designs electrical systems and components","70k-145k","Circuit design, PCB, PLC, Power systems, AutoCAD, Testing"
Civil Engineer,"civil engineering,structural design,autocad civil 3d,construction management,surveying","Professional Engineer (PE),Civil Engineering License",junior-senior,"Designs infrastructure projects like roads, bridges, and buildings","65k-135k","Structural design, AutoCAD Civil 3D, Construction, Project management"
Chemical Engineer,"chemical engineering,process engineering,chemical processes,plant design,safety","Professional Engineer (PE),Chemical Engineering License",mid-senior,"Designs and optimizes chemical manufacturing processes","75k-150k","Process engineering, Chemical processes, Safety, Plant design, Simulation"
Biomedical Engineer,"biomedical engineering,medical devices,fda regulations,matlab,cad,clinical trials","Biomedical Engineering Certification,PE License",mid-senior,"Designs medical devices and equipment","70k-145k","Medical devices, FDA regulations, MATLAB, CAD, Testing, Documentation"
Environmental Engineer,"environmental engineering,environmental compliance,water treatment,air quality,sustainability","Professional Engineer (PE),Environmental Certification",mid-senior,"Develops solutions for environmental issues and ensures compliance","65k-135k","Environmental regulations, Water/air quality, Sustainability, Permitting"
Petroleum Engineer,"petroleum engineering,reservoir engineering,drilling,production optimization,well design","Professional Engineer (PE),Petroleum Engineering Certification",mid-senior,"Designs methods for extracting oil and gas","90k-180k","Reservoir engineering, Drilling, Production, Simulation, Geology"
Aerospace Engineer,"aerospace engineering,aerodynamics,cad,flight dynamics,structural analysis","Professional Engineer (PE),Aerospace Certification",mid-senior,"Designs aircraft, spacecraft, and propulsion systems","80k-165k","Aerodynamics, CAD, MATLAB, Structural analysis, Flight dynamics"
Renewable Energy Engineer,"renewable energy,solar,wind energy,energy systems,power electronics,sustainability","LEED Certification,Renewable Energy Professional",mid-senior,"Designs renewable energy systems and solutions","75k-150k","Solar/wind energy, Power systems, Energy modeling, Sustainability"
Human Resources Manager,"human resources,talent acquisition,employee relations,performance management,hris","SHRM-CP,PHR,HR Certification",mid-senior,"Manages HR functions including recruitment and employee relations","65k-135k","HR management, Recruitment, Employee relations, HRIS, Compliance, Benefits"
Recruiter,"recruiting,talent acquisition,interviewing,applicant tracking system,sourcing,linkedin","Certified Recruiter,AIRS Certification",junior-senior,"Sources and recruits candidates for open positions","50k-105k","Recruiting, Sourcing, Interviewing, ATS, LinkedIn, Relationship building"
HR Business Partner,"hr business partner,strategic planning,organizational development,change management,employee engagement","SHRM-SCP,SPHR,HR Business Partner Certification",senior,"Partners with business leaders on HR strategy and initiatives","80k-160k","HR strategy, Business acumen, Change management, Employee relations, Analytics"
Compensation and Benefits Analyst,"compensation,benefits,salary benchmarking,job evaluation,hris,payroll","Certified Compensation Professional,Benefits Certification",mid-senior,"Analyzes and manages compensation and benefits programs","60k-125k","Compensation, Benefits, Salary analysis, HRIS, Excel, Market research"
Training and Development Manager,"training,learning and development,instructional design,lms,performance improvement","CPTD,Training Certification,Instructional Design Certificate",mid-senior,"Designs and manages employee training programs","65k-130k","Training, Instructional design, LMS, Facilitation, Curriculum development"
Organizational Development Consultant,"organizational development,change management,talent development,team building,consulting","OD Certification,Change Management Certification",senior,"Improves organizational effectiveness through development initiatives","80k-160k","OD, Change management, Consulting, Assessment tools, Facilitation"
Sales Manager,"sales management,team leadership,sales strategy,crm,pipeline management,b2b sales","Sales Management Certification,Sales Leadership Training",mid-senior,"Leads sales team and develops sales strategies","70k-150k","Sales management, Team leadership, CRM, Strategy, Pipeline management, Coaching"
Account Executive,"account executive,b2b sales,salesforce,prospecting,closing,relationship building","Sales Certification,Salesforce Certification",junior-senior,"Manages client accounts and drives new business","55k-120k","B2B sales, Salesforce, Prospecting, Negotiation, Relationship building"
Business Development Manager,"business development,partnership,lead generation,market expansion,sales strategy","Business Development Certification,MBA",mid-senior,"Identifies growth opportunities and builds strategic partnerships","75k-155k","Business development, Partnerships, Market analysis, Negotiation, Sales"
Customer Success Manager,"customer success,account management,retention,onboarding,relationship management","Customer Success Certification,Account Management Training",mid-senior,"Ensures customer satisfaction and drives product adoption","65k-135k","Customer success, Account management, Onboarding, SaaS, Communication, Analytics"
Inside Sales Representative,"inside sales,lead qualification,cold calling,crm,sales pipeline,phone sales","Inside Sales Certification,Sales Training",junior-mid,"Generates and qualifies sales leads through outbound activities","45k-95k","Inside sales, Cold calling, CRM, Lead qualification, Communication"
Technical Account Manager,"technical account management,customer support,technical consulting,escalation management","Technical Account Manager Certification,Cloud Certifications",mid-senior,"Provides technical guidance and support to enterprise customers","80k-155k","Technical knowledge, Account management, Problem solving, Communication, Cloud"
Sales Engineer,"sales engineering,technical sales,solution design,demo,presales,proof of concept","Sales Engineering Certification,Technical Certifications",mid-senior,"Provides technical expertise during the sales process","85k-165k","Technical sales, Solution design, Demos, Communication, Technical knowledge"

